유형,이름,지원대상,지원내용,신청절차,필요서류,문의처,링크
기관,학교 Wee클래스,학교생활 적응에 어려움을 겪는 재학생,교내 전문상담교사 1:1 개인상담 및 심리검사,담임교사 연계 또는 학생 직접 방문,상담동의서,교내 Wee클래스,https://www.wee.go.kr
기관,교육지원청 Wee센터,단위 학교에서 해결하기 어려운 심리적 위기 학생,"임상심리사 심층 평가 및 장기 상담, 병원 연계",Wee클래스 의뢰 및 학교장 공문 발송,"의뢰서, 학부모 동의서",관할 교육지원청,https://www.wee.go.kr
기관,시도교육청 Wee스쿨,장기 결석 및 학교폭력 등으로 학업 중단 위기에 있는 학생,기숙형 대안교육 및 집중 심리치료 프로그램,Wee센터 의뢰 및 심사위원회 심의,"학교장 추천서, 학교생활기록부",관할 교육청,https://www.wee.go.kr
기관,청소년상담복지센터 (1388),만 9세~24세 위기 청소년,"가출, 비행, 학업중단 청소년 상담 및 긴급 구조",1388 전화 접수 또는 홈페이지 예약,없음,국번없이 1388,https://www.cyber1388.kr
기관,지역 학생정신건강복지센터,"자해, 우울증 등 고위험군 위기학생",정신의학과 전문의 연계 진료 및 치료비 지원,학교 보건/상담교사 의뢰 또는 보호자 직접 신청,"상담일지, 의사소견서",1577-0199,https://mentalhealth.go.kr
기관,스마트쉼센터,스마트폰/인터넷 과의존 학생,"과의존 예방 교육, 방문 상담 및 예술치료",홈페이지 척도검사 후 상담 예약,온라인 자가진단 결과지,1599-0075,https://www.iapc.or.kr
기관,한국도박문제예방치유원,"온라인 도박, 불법 스포츠 토토 노출 학생",청소년 도박 문제 치유 상담 및 단도박 모임 연계,온라인 헬프라인 챗봇 또는 전화 접수,없음(익명 진행 가능),1336,https://www.kcgp.or.kr
기관,해바라기센터,"성폭력, 가정폭력, 아동학대 피해 학생","의료, 상담, 법률, 수사 지원 원스톱 제공",경찰(112) 연계 또는 직통 전화 접수,신분확인 서류(현장 작성),1366,https://www.mogef.go.kr
기관,청소년폭력예방재단 (푸른나무재단),학교폭력 및 사이버폭력 피해 학생,"화해 분쟁 조정, 심리 상담, 장학금 지원",전국 학교폭력 상담전화 접수,학교폭력 대책심의위원회 결과통보서(필요시),1588-9128,https://btf.or.kr
제도,우리아이 심리지원 바우처,"주의결핍, 발달장애 등 심리행동 문제 아동",언어/미술/음악/놀이치료 비용 월 16만원 상당 지원,주소지 읍면동 행정복지센터 신청,의사 진단서 또는 임상심리사 소견서,보건복지상담센터 129,https://www.socialservice.or.kr
제도,학교 기초학력 디딤돌 교실,기초학력 진단평가 미달 학생,방과후 소그룹(3~5인) 국영수 기초 보충학습,학기 초 가정통신문 회신을 통한 신청,참가동의서,교내 기초학력 담당 교사,https://www.kice.re.kr
기관,학습종합클리닉센터,"정서적, 인지적 요인으로 학습에 심각한 어려움이 있는 학생",학습심리 상담사 학교 방문 1:1 코칭,학교에서 교육지원청으로 공문 신청,학습부진 원인 진단검사 결과지,관할 교육지원청,https://www.moe.go.kr
제도,방과후학교 자유수강권,"저소득층(기초, 차상위) 초중고 학생",교내 방과후학교 프로그램 수강료 연 60만원 한도 지원,교육비 원클릭 신청 시스템 온라인 접수,"가족관계증명서, 소득증빙서류",학교 행정실,https://oneclick.moe.go.kr
기관,꿈드림 (학교밖청소년지원센터),학업 중단 청소년 및 미인가 대안학교 재학생,"검정고시 준비, 직업 체험, 자격증 취득 지원",센터 방문 또는 홈페이지 신청,정원외관리증명서 또는 제적증명서,1388,https://www.kdream.or.kr
기관,진로진학지원센터,진로 미결정 및 진학 정보가 필요한 중고생,"진로적성검사, 1:1 맞춤형 진학 컨설팅",시도교육청 진로진학센터 홈페이지 예약,"학교생활기록부, 모의고사 성적표",시도교육청 진로과,https://www.career.go.kr
제도,대학생 튜터링 (다문화/탈북학생),다문화 및 탈북가정 초중고 학생,대학생 멘토와 주 2회 교과 학습 및 문화 체험 멘토링,학교 다문화 담당 교사 신청,멘토링 신청서,한국장학재단,https://www.kosaf.go.kr
기관,특수교육지원센터,"시청각장애, 지적장애, 자폐성장애 특수교육대상자","특수교육 대상자 진단 평가 및 순회 교육, 보조공학기기 대여",보호자가 유치원/학교 거쳐 교육장에게 신청,"특수교육대상자 진단평가 의뢰서, 장애인등록증(선택)",교육지원청 특수교육과,https://www.nise.go.kr
기관,대안교육 위탁교육기관,학교생활 부적응으로 학업 중단 위기에 있는 중고생,"일반 교과 축소 및 예체능, 진로, 인성 위주의 대안 교과 운영",소속 학교 담임/상담교사 면담 후 위탁 신청,"위탁교육 신청서, 학교장 추천서",시도교육청 대안교육팀,https://www.moe.go.kr
제도,느린학습자(경계선지능) 맞춤형 지원,지능지수(IQ) 71~84 구간의 경계선 지능 학생,인지학습 전문강사 매칭 및 교구 지원,위촉된 심리검사 기관 평가 후 학교에서 교육청 신청,종합심리검사(Full Battery) 결과보고서,관할 교육지원청,https://www.moe.go.kr
제도,직업계고 글로벌 현장학습,특성화고 및 마이스터고 3학년 재학생,해외 우수 기업 현장실습 및 어학연수 기회 제공,교내 취업지원부 추천 및 심사,"자기소개서, 외국어 성적표, 학과장 추천서",교내 취업지원부,https://www.hifive.go.kr
